[0415/102914.343:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0415/105314.155:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105319.182:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105324.202:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105329.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105334.223:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105339.240:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105344.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105349.277:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105354.304:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105359.323:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105404.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105409.369:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105414.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105419.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105424.431:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105429.450:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105434.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105439.492:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105444.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105449.510:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105454.530:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105459.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105504.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105509.593:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105514.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105519.624:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105524.635:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105529.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105534.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0415/105539.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
